Year,Genre,Global
2013,Action,1.91
2013,Action-Adventure,3.19
2013,Fighting,0.98
2013,MMO,0.0
2013,Misc,0.44
2013,Music,0.47
2013,Platform,2.04
2013,Puzzle,0.23
2013,Racing,2.17
2013,Shooter,11.129999999999999
2013,Sports,6.2
2014,Action,31.97
2014,Action-Adventure,19.78
2014,Adventure,2.23
2014,Fighting,1.53
2014,MMO,0.79
2014,Misc,7.6
2014,Music,1.27
2014,Platform,4.09
2014,Puzzle,0.1
2014,Racing,4.36
2014,Role-Playing,5.89
2014,Shooter,21.38
2014,Sports,14.75
2014,Strategy,0.11
2015,Action,29.73
2015,Action-Adventure,2.87
2015,Adventure,4.1899999999999995
2015,Fighting,5.92
2015,MMO,2.2199999999999998
2015,Misc,0.04
2015,Music,2.27
2015,Platform,0.41000000000000003
2015,Puzzle,0.04
2015,Racing,5.300000000000001
2015,Role-Playing,22.42
2015,Shooter,36.95
2015,Simulation,0.79
2015,Sports,20.73
2015,Strategy,0.09
2015,Visual Novel,0.02
2016,Action,25.92
2016,Action-Adventure,11.35
2016,Adventure,4.37
2016,Fighting,4.4
2016,Misc,2.8400000000000003
2016,Music,0.34
2016,Platform,3.57
2016,Puzzle,0.11
2016,Racing,2.88
2016,Role-Playing,17.36
2016,Shooter,34.34
2016,Simulation,1.09
2016,Sports,26.45
2016,Strategy,0.61
2016,Visual Novel,0.31
2017,Action,30.51
2017,Action-Adventure,0.58
2017,Adventure,2.81
2017,Fighting,4.71
2017,MMO,0.51
2017,Misc,1.5499999999999998
2017,Music,0.68
2017,Party,0.65
2017,Platform,7.7
2017,Puzzle,0.04
2017,Racing,9.65
2017,Role-Playing,14.72
2017,Shooter,30.92
2017,Simulation,2.6
2017,Sports,22.69
2017,Strategy,0.45
2017,Visual Novel,0.13
2018,Action,16.81
2018,Action-Adventure,24.09
2018,Adventure,1.62
2018,Fighting,1.92
2018,Platform,0.04
2018,Racing,0.9299999999999999
2018,Role-Playing,2.43
2018,Shooter,0.27
2018,Simulation,0.04
2018,Sports,2.0300000000000002
2018,Strategy,0.02
2019,Action,0.0
2019,Action-Adventure,0.0
2019,Adventure,0.0
2019,MMO,0.0
2019,Platform,0.0
2019,Role-Playing,0.0
2019,Shooter,0.0
2020,Action,0.0
2020,Misc,0.0
2020,Racing,0.0
2020,Role-Playing,0.0
